Date,CaseNum,CaseSum
2023-01-30,0,3844
2023-01-31,0,3844
2023-02-01,2,3846
2023-02-02,0,3846
2023-02-03,0,3846
2023-02-04,1,3847
2023-02-05,0,3847
2023-02-06,0,3847
2023-02-07,1,3848
2023-02-08,0,3848
2023-02-09,0,3848
2023-02-10,0,3848
2023-02-11,0,3848
2023-02-12,1,3849
2023-02-13,0,3849
2023-02-14,0,3849
2023-02-15,0,3849
2023-02-16,1,3850
2023-02-17,1,3851
2023-02-18,0,3851
2023-02-19,1,3852
2023-02-20,0,3852
2023-02-21,0,3852
2023-02-22,0,3852
2023-02-23,0,3852
2023-02-24,0,3852
2023-02-25,0,3852
2023-02-26,0,3852
2023-02-27,0,3852
2023-02-28,0,3852
2023-03-01,0,3852
2023-03-02,0,3852
2023-03-03,0,3852
2023-03-04,0,3852
2023-03-05,0,3852
2023-03-06,0,3852
2023-03-07,1,3853
2023-03-08,0,3853
2023-03-09,0,3853
2023-03-10,0,3853
2023-03-11,0,3853
2023-03-12,0,3853
2023-03-13,0,3853
2023-03-14,0,3853
2023-03-15,0,3853
2023-03-16,0,3853
2023-03-17,0,3853
2023-03-18,0,3853
2023-03-19,0,3853
2023-03-20,0,3853
2023-03-21,0,3853
2023-03-22,0,3853
2023-03-23,0,3853
2023-03-24,0,3853
2023-03-25,0,3853
2023-03-26,0,3853
2023-03-27,0,3853
2023-03-28,1,3854
2023-03-29,0,3854
2023-03-30,0,3854
2023-03-31,0,3854
2023-04-01,0,3854
2023-04-02,0,3854
2023-04-03,1,3855
2023-04-04,1,3856
2023-04-05,2,3858
2023-04-06,0,3858
2023-04-07,0,3858
2023-04-08,1,3859
2023-04-09,0,3859
2023-04-10,1,3860
2023-04-11,0,3860
2023-04-12,2,3862
2023-04-13,0,3862
2023-04-14,0,3862
2023-04-15,0,3862
2023-04-16,0,3862
2023-04-17,0,3862
2023-04-18,0,3862
2023-04-19,0,3862
2023-04-20,0,3862
2023-04-21,1,3863
2023-04-22,0,3863
2023-04-23,0,3863
2023-04-24,0,3863
2023-04-25,0,3863
2023-04-26,0,3863
2023-04-27,0,3863
2023-04-28,0,3863
2023-04-29,0,3863
2023-04-30,0,3863
2023-05-01,0,3863
2023-05-02,0,3863
2023-05-03,0,3863
2023-05-04,0,3863
2023-05-05,0,3863
2023-05-06,0,3863
2023-05-07,0,3863
2023-05-08,0,3863
2023-05-09,1,3864
2023-05-10,0,3864
2023-05-11,1,3865
2023-05-12,0,3865
2023-05-13,0,3865
2023-05-14,0,3865
2023-05-15,1,3866
2023-05-16,0,3866
2023-05-17,0,3866
2023-05-18,0,3866
2023-05-19,0,3866
2023-05-20,0,3866
2023-05-21,0,3866
2023-05-22,1,3867
2023-05-23,0,3867
2023-05-24,0,3867
2023-05-25,1,3868
2023-05-26,0,3868
2023-05-27,1,3869
2023-05-28,0,3869
2023-05-29,0,3869
2023-05-30,2,3871
2023-05-31,1,3872
2023-06-01,0,3872
2023-06-02,0,3872
2023-06-03,1,3873
2023-06-04,0,3873
2023-06-05,1,3874
2023-06-06,1,3875
2023-06-07,0,3875
2023-06-08,0,3875
2023-06-09,0,3875
2023-06-10,0,3875
2023-06-11,0,3875
2023-06-12,1,3876
2023-06-13,1,3877
2023-06-14,0,3877
2023-06-15,0,3877
2023-06-16,0,3877
2023-06-17,0,3877
2023-06-18,2,3879
2023-06-19,0,3879
2023-06-20,0,3879
2023-06-21,1,3880
2023-06-22,1,3881
2023-06-23,0,3881
2023-06-24,1,3882
2023-06-25,0,3882
2023-06-26,0,3882
2023-06-27,0,3882
2023-06-28,1,3883
2023-06-29,1,3884
2023-06-30,0,3884
2023-07-01,0,3884
2023-07-02,0,3884
2023-07-03,2,3886
2023-07-04,0,3886
2023-07-05,1,3887
2023-07-06,1,3888
2023-07-07,1,3889
2023-07-08,1,3890
2023-07-09,0,3890
2023-07-10,2,3892
2023-07-11,0,3892
2023-07-12,1,3893
2023-07-13,0,3893
2023-07-14,1,3894
2023-07-15,0,3894
2023-07-16,0,3894
2023-07-17,0,3894
2023-07-18,1,3895
2023-07-19,2,3897
2023-07-20,0,3897
2023-07-21,0,3897
2023-07-22,0,3897
2023-07-23,0,3897
2023-07-24,3,3900
2023-07-25,1,3901
2023-07-26,1,3902
2023-07-27,0,3902
2023-07-28,0,3902
2023-07-29,0,3902
2023-07-30,0,3902
2023-07-31,1,3903
2023-08-01,0,3903
2023-08-02,0,3903
2023-08-03,1,3904
2023-08-04,1,3905
2023-08-05,0,3905
2023-08-06,0,3905
2023-08-07,1,3906
2023-08-08,1,3907
2023-08-09,2,3909
2023-08-10,2,3911
2023-08-11,1,3912
2023-08-12,0,3912
2023-08-13,1,3913
2023-08-14,0,3913
2023-08-15,0,3913
2023-08-16,1,3914
2023-08-17,0,3914
2023-08-18,0,3914
2023-08-19,0,3914
2023-08-20,1,3915
2023-08-21,0,3915
2023-08-22,0,3915
2023-08-23,0,3915
2023-08-24,1,3916
2023-08-25,0,3916
2023-08-26,1,3917
2023-08-27,0,3917
2023-08-28,0,3917
2023-08-29,2,3919
2023-08-30,1,3920
2023-08-31,0,3920
2023-09-01,0,3920
2023-09-02,0,3920
2023-09-03,0,3920
2023-09-04,1,3921
2023-09-05,0,3921
2023-09-06,0,3921
2023-09-07,0,3921
2023-09-08,0,3921
2023-09-09,0,3921
2023-09-10,0,3921
2023-09-11,1,3922
2023-09-12,3,3925
2023-09-13,0,3925
2023-09-14,0,3925
2023-09-15,0,3925
2023-09-16,0,3925
2023-09-17,0,3925
2023-09-18,0,3925
2023-09-19,0,3925
2023-09-20,0,3925
2023-09-21,0,3925
2023-09-22,1,3926
2023-09-23,0,3926
2023-09-24,0,3926
2023-09-25,1,3927
2023-09-26,0,3927
2023-09-27,0,3927
2023-09-28,0,3927
2023-09-29,1,3928
2023-09-30,0,3928
2023-10-01,0,3928
2023-10-02,2,3930
2023-10-03,0,3930
2023-10-04,2,3932
2023-10-05,1,3933
2023-10-06,1,3934
2023-10-07,0,3934
