"x","r","lb_2.5","lb_25","ub_97.5","ub_75","prob","d_comb","variable"
19127,0.111695425462801,0.0234209899564826,0.0832580462444824,0.213347529469843,0.143127231651012,0.9923125,2022-05-15,"growth_rate"
19128,0.111803951017643,0.0253562916600386,0.083552901697388,0.209600074230493,0.142526629537643,0.9935625,2022-05-16,"growth_rate"
19129,0.112108181583613,0.0266919927504999,0.0838386957647935,0.206300385615531,0.141485434925516,0.9946875,2022-05-17,"growth_rate"
19130,0.112182453980059,0.0294380879349247,0.0844493477653032,0.202721385544073,0.140205630735622,0.99575,2022-05-18,"growth_rate"
19131,0.111946480293877,0.0324005106462223,0.0852572517983427,0.198964881719196,0.13915721302653,0.9968125,2022-05-19,"growth_rate"
19132,0.111639260461982,0.0353630523023687,0.0861171232792904,0.196108863633381,0.138140236995356,0.9979375,2022-05-20,"growth_rate"
19133,0.111435403171822,0.0381248671544627,0.0869785458507794,0.192929520977203,0.136962213900677,0.9988125,2022-05-21,"growth_rate"
19134,0.111133836156865,0.040952659262726,0.0876224398936021,0.189559288533319,0.135597895541106,0.998875,2022-05-22,"growth_rate"
19135,0.110830376925331,0.0439309564572872,0.0882673041426695,0.185407244175735,0.134057364125304,0.999125,2022-05-23,"growth_rate"
19136,0.110448337066878,0.0469143574941318,0.0884950637058593,0.180401394678098,0.132320457401688,0.999375,2022-05-24,"growth_rate"
19137,0.109603936902855,0.0496445957695945,0.0889160219673051,0.176890219795675,0.130974740114172,0.999625,2022-05-25,"growth_rate"
19138,0.108837337772158,0.0513453434693762,0.0891445156257736,0.174470172873451,0.129592073998875,0.9996875,2022-05-26,"growth_rate"
19139,0.108298078587669,0.0529755344841772,0.0892425203112401,0.171397063254085,0.128113803162545,0.9998125,2022-05-27,"growth_rate"
19140,0.1078307402917,0.0547166107766397,0.0897705826466977,0.168651723386024,0.12671589665547,0.999875,2022-05-28,"growth_rate"
19141,0.107428181536953,0.0566867149201532,0.0901447760507817,0.165521231845599,0.125339618784034,0.9999375,2022-05-29,"growth_rate"
19142,0.107067026261004,0.0578324947782562,0.0906158080900271,0.162565411558933,0.124572401929629,1,2022-05-30,"growth_rate"
19143,0.107138933658034,0.0586765624242203,0.0906753520812275,0.160289101039601,0.12391068326256,1,2022-05-31,"growth_rate"
19144,0.107191631769669,0.0595803993778306,0.0913471201150429,0.158194043209295,0.123434945195519,1,2022-06-01,"growth_rate"
19145,0.107385233621982,0.0615303837724796,0.0919241490588933,0.155958035794699,0.123074408886432,0.999875,2022-06-02,"growth_rate"
19146,0.107721815135876,0.0646630682272995,0.0931119495309532,0.153498185068883,0.122759753798713,1,2022-06-03,"growth_rate"
19147,0.108390196640975,0.0667999288945234,0.0943692230485211,0.151266272116449,0.122728481878425,1,2022-06-04,"growth_rate"
19148,0.109059311658077,0.0680131079010522,0.0951025559557197,0.14928819754501,0.122756888215222,1,2022-06-05,"growth_rate"
19149,0.109545593411837,0.0693821635407006,0.0959028347893454,0.147697177526856,0.122427168101134,1,2022-06-06,"growth_rate"
19150,0.109841475250063,0.0710001815556825,0.0967592257909438,0.146285244533322,0.12203992398647,1,2022-06-07,"growth_rate"
19151,0.109745763271986,0.0724124188243465,0.097474276530974,0.144481105134084,0.121575644213192,1,2022-06-08,"growth_rate"
19152,0.109636661560058,0.0737258621685399,0.0979019817999849,0.144090331299888,0.121247817530778,1,2022-06-09,"growth_rate"
19153,0.109713410506851,0.073573060817208,0.0981869585550127,0.144473204452386,0.121249492482321,1,2022-06-10,"growth_rate"
19154,0.110070390202257,0.074894160059233,0.0985676684171969,0.144109313680045,0.121223967955421,1,2022-06-11,"growth_rate"
19155,0.110371217845797,0.0767831617950587,0.0992756581254127,0.143060392331207,0.121327101165252,1,2022-06-12,"growth_rate"
19156,0.110892687728949,0.0791338960074728,0.10039393422451,0.142043812792898,0.12149404028797,1,2022-06-13,"growth_rate"
19157,0.111701271393527,0.079944345785031,0.101291100589119,0.142053781637994,0.121957944480535,1,2022-06-14,"growth_rate"
19158,0.112547976133852,0.0803100141902247,0.101962763541632,0.14336828549437,0.122545003511833,1,2022-06-15,"growth_rate"
19159,0.113233039126056,0.0809344164251707,0.102677273590612,0.144106174474476,0.123187856773945,1,2022-06-16,"growth_rate"
19160,0.113740435292463,0.0824741115959705,0.103612342619775,0.144479909101464,0.123392872880744,1,2022-06-17,"growth_rate"
19161,0.114241788523322,0.0847435429494578,0.104573735684291,0.144564168878191,0.123824956601661,1,2022-06-18,"growth_rate"
19162,0.114700744383745,0.0861609161850087,0.105130849404274,0.144289259530302,0.124450451378878,1,2022-06-19,"growth_rate"
19163,0.11525332599059,0.0870193772883071,0.105544329634294,0.144621582960909,0.125098945384616,1,2022-06-20,"growth_rate"
19164,0.115703749537288,0.0877860804515745,0.106232402646731,0.14423538251482,0.12538988499857,1,2022-06-21,"growth_rate"
19165,0.116072961763848,0.0899775489624067,0.107085530391472,0.143881410367237,0.125158452368817,1,2022-06-22,"growth_rate"
19166,0.116513310477588,0.0914778391960042,0.107818038884232,0.143427852850458,0.125179174457828,1,2022-06-23,"growth_rate"
19167,0.1165801274149,0.0917488937438151,0.108009655861249,0.144270030196126,0.125471215586646,1,2022-06-24,"growth_rate"
19168,0.116442421208619,0.0911147260296529,0.107705034214943,0.144685758988052,0.125747626686785,1,2022-06-25,"growth_rate"
19169,0.116164461186102,0.090595679512836,0.107318316095492,0.145169666650743,0.125531484268332,1,2022-06-26,"growth_rate"
