"x","r","lb_2.5","lb_25","ub_97.5","ub_75","prob","d_comb","variable"
19144,0.103402820316637,0.0435367947358218,0.0820729709341277,0.177104617446317,0.126653421809883,0.998666666666667,2022-06-01,"growth_rate"
19145,0.103693135962543,0.0448074484149987,0.0833183952928347,0.175728064305317,0.126103472987211,0.999333333333333,2022-06-02,"growth_rate"
19146,0.104224525085484,0.0466431326777347,0.0842324408871836,0.174022846393239,0.126490770596667,0.999333333333333,2022-06-03,"growth_rate"
19147,0.105006056432446,0.0491110997987232,0.0855440561550694,0.169355216772273,0.12637518369267,0.999333333333333,2022-06-04,"growth_rate"
19148,0.105350822454422,0.0526998987029211,0.0873732497508535,0.166014261886807,0.125602399535952,1,2022-06-05,"growth_rate"
19149,0.107109495123606,0.0564217611065499,0.0898124729605771,0.162320021331488,0.125289250997283,1,2022-06-06,"growth_rate"
19150,0.107950729157628,0.0579144325479947,0.0905469532911197,0.159797327233798,0.124691679400572,1,2022-06-07,"growth_rate"
19151,0.108158248809492,0.0598441391976698,0.0917464046441214,0.157028719083994,0.124496575891505,1,2022-06-08,"growth_rate"
19152,0.10900217801337,0.0614568779232864,0.0934157092511297,0.154771879033823,0.123763564636259,1,2022-06-09,"growth_rate"
19153,0.109003090436218,0.0651469553836093,0.0948522462949863,0.151608226592404,0.123741065708114,1,2022-06-10,"growth_rate"
19154,0.109692662173842,0.0673229073788276,0.0954499579197935,0.150076613936261,0.123851930523876,1,2022-06-11,"growth_rate"
19155,0.109956508838203,0.0686694986887907,0.0954494563436318,0.148952593593266,0.123955124513152,1,2022-06-12,"growth_rate"
19156,0.110418782852476,0.0710814038638698,0.0965575590757095,0.148479524576011,0.123960445794342,1,2022-06-13,"growth_rate"
19157,0.110803929241438,0.0730723722606043,0.0974271541332474,0.147686589274584,0.123399000083642,1,2022-06-14,"growth_rate"
19158,0.111055238811776,0.0752001472175544,0.0987203534100737,0.147793666509508,0.123125710674484,1,2022-06-15,"growth_rate"
19159,0.111474712812459,0.0756236280177507,0.0993730393836443,0.147278273704336,0.122751409311646,1,2022-06-16,"growth_rate"
19160,0.111862507819178,0.0774532319531763,0.10013020589945,0.146811087558685,0.123227725287899,1,2022-06-17,"growth_rate"
19161,0.112297020128318,0.0795582212421287,0.100781124189171,0.145983691605397,0.123081345746763,1,2022-06-18,"growth_rate"
19162,0.112472417618378,0.082326924842485,0.102244868529833,0.145251598526545,0.123220398659737,1,2022-06-19,"growth_rate"
19163,0.113049901743607,0.0846261223910234,0.103364418183564,0.144629869587481,0.123430256425592,1,2022-06-20,"growth_rate"
19164,0.113924002160315,0.0857157723356743,0.103988682001986,0.143258262664317,0.123766148462921,1,2022-06-21,"growth_rate"
19165,0.114385528672065,0.0866182320957903,0.104417553014238,0.143798746728028,0.12395923858006,1,2022-06-22,"growth_rate"
19166,0.114915363061371,0.0868892397423226,0.104676641907072,0.143444922705104,0.12433253130708,1,2022-06-23,"growth_rate"
19167,0.114939212552769,0.0865178561014765,0.105756105506702,0.141722683558407,0.124142557136423,1,2022-06-24,"growth_rate"
19168,0.115001217045224,0.0865096434811577,0.105890369666563,0.140842515393964,0.124167164353916,1,2022-06-25,"growth_rate"
19169,0.114751513614379,0.0849954141704829,0.105079450001013,0.140564251693474,0.123664420672846,1,2022-06-26,"growth_rate"
19170,0.114678676783616,0.0858376968814264,0.104950336092692,0.140639679819589,0.123254975837086,1,2022-06-27,"growth_rate"
19171,0.114145150680955,0.0865847848956908,0.104709937773933,0.139674469941694,0.12272883480147,1,2022-06-28,"growth_rate"
19172,0.113304516707624,0.0879537183569424,0.104653694824726,0.137637912406843,0.121682347852953,1,2022-06-29,"growth_rate"
19173,0.112172896097799,0.0877769998322582,0.103991913069974,0.137049529822761,0.120174438208291,1,2022-06-30,"growth_rate"
19174,0.110510207569389,0.0874408168627046,0.102479623623411,0.138360849547499,0.119468453415348,1,2022-07-01,"growth_rate"
19175,0.108342347374812,0.085155742295218,0.10066358743784,0.13863311470396,0.117922667464621,1,2022-07-02,"growth_rate"
19176,0.105869412111515,0.0824478182714534,0.0982695082957087,0.136673793561728,0.114996654708261,1,2022-07-03,"growth_rate"
19177,0.102966797567289,0.0799358433201666,0.0950443738407115,0.131918056724552,0.111154311508612,1,2022-07-04,"growth_rate"
19178,0.0994237355441083,0.0773270510411775,0.0916852433610925,0.126773960391997,0.107214172837251,1,2022-07-05,"growth_rate"
19179,0.0955098282683389,0.0720036974741499,0.0871873654518603,0.121169959394913,0.102851752898288,1,2022-07-06,"growth_rate"
19180,0.0906278023654015,0.0674342214038868,0.0827402473665584,0.116473374407453,0.0981444555892915,1,2022-07-07,"growth_rate"
19181,0.0853372553952259,0.0625733862209589,0.0777286938904477,0.111260237557074,0.0929827826378157,1,2022-07-08,"growth_rate"
19182,0.0796729986015421,0.0582585763827156,0.0723545055124093,0.105207811864757,0.0876492774610471,1,2022-07-09,"growth_rate"
19183,0.0734347607279604,0.0523971953704804,0.0665343654666437,0.0981431058161969,0.0811229368543729,1,2022-07-10,"growth_rate"
19184,0.0675824018868594,0.0453655469032947,0.0606932975290558,0.0920936291074635,0.0753558486792474,1,2022-07-11,"growth_rate"
19185,0.0620243152321043,0.0399584284142157,0.0546938465840975,0.0864077999623857,0.0700563931567766,1,2022-07-12,"growth_rate"
19186,0.0570245960968963,0.0343614315020854,0.049483023707162,0.081118558643189,0.0649663936571947,1,2022-07-13,"growth_rate"
19187,0.0521180851452772,0.0294246105329381,0.0446070888779886,0.0756221639100641,0.0595934795240823,1,2022-07-14,"growth_rate"
